"a._id","a._parent","a.author","a.date","a.location","a.id_arbre","a.taxon","a.note"
87,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-402","Bocoa prouacensis Aubl.",null
89,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-403","Micropholis cayennensis T.D.Penn.",null
91,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-405","Chrysophyllum sanguinolentum (Pierre) Baehni",null
93,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-407","Talisia simaboides K.U.Kramer",null
96,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-408","Guatteria citriodora Ducke",null
98,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-411","Chrysophyllum sanguinolentum (Pierre) Baehni",null
100,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-414","Byrsonima altissima DC.",null
103,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-420","Symphonia sp. 1 AMAP-IRD",null
105,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-421","Licania densiflora Kleinhoonte",null
107,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-422","Duroia longiflora Ducke",null
109,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-423","Lecythis persistens Sagot subsp. persistens",null
111,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-425","Chrysophyllum sanguinolentum (Pierre) Baehni",null
113,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-426","Dicorynia guianensis Amshoff",null
115,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-427","Ptychopetalum olacoides Benth.",null
118,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-429","Licania densiflora Kleinhoonte",null
120,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-430","Tovomita sp. 7 AMAP-IRD",null
122,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-431","Licania alba (Bernoulli) Cuatrec.",null
124,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-432","Licania alba (Bernoulli) Cuatrec.",null
126,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-433","Moronobea coccinea Aubl.",null
128,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-434","Tovomita sp. 10 AMAP-IRD",null
130,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-435","Swartzia polyphylla DC.",null
133,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-436","Licania alba (Bernoulli) Cuatrec.",null
135,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-437","Tovomita sp. 7 AMAP-IRD",null
138,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-440","Licania densiflora Kleinhoonte",null
140,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-441","Swartzia polyphylla DC.",null
142,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-442","Duroia longiflora Ducke",null
145,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-443","Aspidosperma sp. 1 AMAP-IRD",null
147,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-444","Sacoglottis guianensis Benth.",null
150,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-445","Licania alba (Bernoulli) Cuatrec.",null
152,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-446","Tapura capitulifera Spruce ex Baill.",null
154,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-447","Pachira flaviflora (Pulle) Fern.Alonso",null
157,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-448","Tapura capitulifera Spruce ex Baill.",null
159,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-449","Tapura capitulifera Spruce ex Baill.",null
161,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-450","Licania densiflora Kleinhoonte",null
163,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-451","Chrysophyllum sanguinolentum (Pierre) Baehni",null
165,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-452","Micropholis guyanensis (A.DC.) Pierre subsp. duckeana (Baehni) T.D.Penn.",null
166,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-494","Duroia longiflora Ducke",null
168,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-453","Pouteria ambelaniifolia (Sandwith) T.D.Penn.",null
170,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-454","Licania alba (Bernoulli) Cuatrec.",null
173,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-455","Pouteria ambelaniifolia (Sandwith) T.D.Penn.",null
175,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-456","Swartzia leblondii R.S.Cowan",null
177,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-460","Andira coriacea Pulle",null
179,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-467","Eperua grandiflora (Aubl.) Baill.",null
181,null,"R. Tournebize","2013-04-03","Roura Montagne des Chevaux - Parcelle CVX1","CVX1-468","Sacoglottis guianensis Benth.",null
